ts_utc,route_id,route_name,mode,n_vehicles,n_trips,median_delay_s,p90_delay_s,pct_on_time,pct_late,pct_early,n_alerts
2026-08-20T04:37:22Z,162,162 Lawrence-Donway,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,164,164 Castlefield,bus,2,0,,,,,,2
2026-08-20T04:37:22Z,165,165 Weston Rd North,bus,10,0,,,,,,0
2026-08-20T04:37:22Z,167,167 Pharmacy North,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,168,168 Symington,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,169,169 Huntingwood,bus,3,0,,,,,,1
2026-08-20T04:37:22Z,171,171 Mount Dennis,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,184,184 Ancaster Park,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,185,185 Sheppard Central,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,189,189 Stockyards,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,191,191 Underhill,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,202,202 Cherry Beach,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,300,300 Bloor-Danforth,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,305,305 Dundas,streetcar,0,0,,,,,,2
2026-08-20T04:37:22Z,306,306 Carlton,streetcar,0,0,,,,,,1
2026-08-20T04:37:22Z,307,307 Bathurst,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,310,310 Spadina,streetcar,0,0,,,,,,1
2026-08-20T04:37:22Z,312,312 St Clair,streetcar,0,0,,,,,,1
2026-08-20T04:37:22Z,316,316 Kingston Rd-McCowan,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,320,320 Yonge,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,325,325 Don Mills,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,329,329 Dufferin,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,334,334 Eglinton,bus,0,0,,,,,,4
2026-08-20T04:37:22Z,352,352 Lawrence West,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,354,354 Lawrence East,bus,0,0,,,,,,2
2026-08-20T04:37:22Z,363,363 Ossington,bus,0,0,,,,,,2
2026-08-20T04:37:22Z,395,395 York Mills,bus,0,0,,,,,,1
