ts_utc,route_id,route_name,mode,n_vehicles,n_stops_measured,n_gaps,median_headway_s,headway_cv,pct_regular,pct_bunched,pct_gapped,n_alerts
2026-09-01T00:34:39Z,905,905 Eglinton East Express,bus,5,2,6,346.0,0.674,33.3,33.3,33.3,0
2026-09-01T00:34:39Z,906,906 Airport-Humber College Express,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,925,925 Don Mills Express,bus,7,0,0,,,,,,1
2026-09-01T00:34:39Z,927,927 Highway 27 Express,bus,10,3,9,360.0,0.495,55.6,33.3,11.1,0
2026-09-01T00:34:39Z,929,929 Dufferin Express,bus,12,41,146,455.0,0.389,77.4,11.6,11.0,0
2026-09-01T00:34:39Z,935,935 Jane Express,bus,10,17,59,336.0,0.514,47.5,23.7,28.8,0
2026-09-01T00:34:39Z,937,937 Islington Express,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,939,939 Finch Express,bus,16,5,15,275.0,0.693,33.3,33.3,33.3,2
2026-09-01T00:34:39Z,953,953 Steeles East Express,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,954,954 Lawrence East Express,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,960,960 Steeles West Express,bus,11,4,12,447.0,0.353,91.7,0.0,8.3,1
2026-09-01T00:34:39Z,984,984 Sheppard West Express,bus,0,0,0,,,,,,2
2026-09-01T00:34:39Z,996,996 Wilson Express,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,ALL,System-wide,all,1002,1451,5057,385.0,0.443,66.0,18.4,15.7,89
